timestamp,company_id,service_name,cpu_percent,memory_percent,response_time_ms,error_rate,active_connections,throughput_rps,queue_depth,db_query_time_ms
2026-09-25T14:00:00Z,Acme-Corp,payment-api,42.0,55.0,120.0,0.1,220,1200,8,35.0
2026-09-25T14:01:00Z,Acme-Corp,payment-api,45.0,56.0,135.0,0.1,250,1250,10,38.0
2026-09-25T14:02:00Z,Acme-Corp,payment-api,48.0,57.0,150.0,0.2,290,1300,12,42.0
2026-09-25T14:03:00Z,Acme-Corp,payment-api,55.0,58.0,280.0,0.5,450,1350,15,180.0
2026-09-25T14:04:00Z,Acme-Corp,payment-api,68.0,60.0,650.0,2.1,720,1400,22,650.0
2026-09-25T14:05:00Z,Acme-Corp,payment-api,78.0,62.0,1400.0,8.5,890,1100,35,1600.0
2026-09-25T14:06:00Z,Acme-Corp,payment-api,88.5,65.0,3200.0,28.5,985,850,48,2850.0
2026-09-25T14:07:00Z,Acme-Corp,payment-api,91.0,66.0,3800.0,34.0,995,780,55,3200.0
2026-09-25T14:08:00Z,Acme-Corp,payment-api,93.5,67.0,4200.0,38.5,1000,720,60,3500.0
2026-09-25T14:09:00Z,Acme-Corp,payment-api,89.0,65.0,2900.0,22.0,960,890,40,2400.0
2026-09-25T14:10:00Z,Acme-Corp,order-service,35.0,45.0,90.0,0.0,180,950,5,25.0
2026-09-25T14:11:00Z,Acme-Corp,order-service,38.0,46.0,95.0,0.0,190,1000,6,28.0
2026-09-25T14:12:00Z,Acme-Corp,order-service,42.0,48.0,110.0,0.1,210,1100,8,30.0
2026-09-25T14:13:00Z,Acme-Corp,order-service,65.0,50.0,350.0,0.5,260,1400,25,45.0
2026-09-25T14:14:00Z,Acme-Corp,order-service,82.0,52.0,850.0,2.5,310,1800,55,60.0
2026-09-25T14:15:00Z,Acme-Corp,order-service,96.5,55.0,2400.0,12.5,340,2100,95,85.0
2026-09-25T14:16:00Z,Acme-Corp,order-service,99.2,56.0,3500.0,18.0,350,2250,130,95.0
2026-09-25T14:17:00Z,Acme-Corp,order-service,98.8,55.5,3200.0,15.5,345,2200,120,90.0
2026-09-25T14:18:00Z,Acme-Corp,order-service,97.5,54.0,2800.0,10.0,330,2000,85,75.0
2026-09-25T14:19:00Z,Acme-Corp,order-service,95.0,53.0,2100.0,6.0,310,1850,60,65.0
2026-09-25T14:20:00Z,Acme-Corp,inventory-service,30.0,45.0,85.0,0.0,150,600,4,20.0
2026-09-25T14:21:00Z,Acme-Corp,inventory-service,31.0,52.0,90.0,0.0,155,610,4,21.0
2026-09-25T14:22:00Z,Acme-Corp,inventory-service,32.0,61.0,110.0,0.0,160,620,5,22.0
2026-09-25T14:23:00Z,Acme-Corp,inventory-service,33.0,72.0,140.0,0.1,165,625,6,23.0
2026-09-25T14:24:00Z,Acme-Corp,inventory-service,35.0,83.0,220.0,0.5,170,630,8,25.0
2026-09-25T14:25:00Z,Acme-Corp,inventory-service,38.0,92.5,580.0,2.0,180,635,12,30.0
2026-09-25T14:26:00Z,Acme-Corp,inventory-service,42.0,97.8,1450.0,8.5,190,640,18,38.0
2026-09-25T14:27:00Z,Acme-Corp,inventory-service,45.0,99.2,2100.0,14.0,200,600,25,45.0
2026-09-25T14:28:00Z,Acme-Corp,inventory-service,40.0,96.5,1600.0,7.0,185,620,15,35.0
2026-09-25T14:29:00Z,Acme-Corp,inventory-service,36.0,91.0,850.0,3.0,175,630,10,28.0
2026-09-25T14:30:00Z,Acme-Corp,gateway-service,25.0,40.0,60.0,0.0,120,1500,2,15.0
2026-09-25T14:31:00Z,Acme-Corp,gateway-service,26.0,41.0,65.0,0.0,125,1520,2,16.0
2026-09-25T14:32:00Z,Acme-Corp,gateway-service,28.0,42.0,75.0,0.2,130,1550,3,18.0
2026-09-25T14:33:00Z,Acme-Corp,gateway-service,35.0,45.0,850.0,12.0,110,900,15,25.0
2026-09-25T14:34:00Z,Acme-Corp,gateway-service,42.0,48.0,4500.0,38.0,80,400,45,35.0
2026-09-25T14:35:00Z,Acme-Corp,gateway-service,48.0,52.0,12500.0,78.5,30,80,95,45.0
2026-09-25T14:36:00Z,Acme-Corp,gateway-service,52.0,55.0,18000.0,92.0,15,10,140,50.0
2026-09-25T14:37:00Z,Acme-Corp,gateway-service,49.0,53.0,14500.0,84.0,22,35,110,48.0
2026-09-25T14:38:00Z,Acme-Corp,gateway-service,41.0,49.0,6200.0,45.0,65,280,60,32.0
2026-09-25T14:39:00Z,Acme-Corp,gateway-service,32.0,44.0,1200.0,15.0,95,750,25,22.0
