timestamp,service_name,cpu_percent,memory_percent,response_time_ms,error_rate,active_connections,throughput_rps,queue_depth,db_query_time_ms
2026-09-25T14:00:00Z,order-service,35.0,45.0,90.0,0.0,180,950,5,25.0
2026-09-25T14:01:00Z,order-service,38.0,46.0,95.0,0.0,190,1000,6,28.0
2026-09-25T14:02:00Z,order-service,42.0,48.0,110.0,0.1,210,1100,8,30.0
2026-09-25T14:03:00Z,order-service,65.0,50.0,350.0,0.5,260,1400,25,45.0
2026-09-25T14:04:00Z,order-service,82.0,52.0,850.0,2.5,310,1800,55,60.0
2026-09-25T14:05:00Z,order-service,96.5,55.0,2400.0,12.5,340,2100,95,85.0
2026-09-25T14:06:00Z,order-service,99.2,56.0,3500.0,18.0,350,2250,130,95.0
2026-09-25T14:07:00Z,order-service,98.8,55.5,3200.0,15.5,345,2200,120,90.0
2026-09-25T14:08:00Z,order-service,97.5,54.0,2800.0,10.0,330,2000,85,75.0
2026-09-25T14:09:00Z,order-service,95.0,53.0,2100.0,6.0,310,1850,60,65.0
