timestamp,service_name,cpu_percent,memory_percent,response_time_ms,error_rate,active_connections,throughput_rps,queue_depth,db_query_time_ms
2026-09-25T14:00:00Z,gateway-service,25.0,40.0,60.0,0.0,120,1500,2,15.0
2026-09-25T14:01:00Z,gateway-service,26.0,41.0,65.0,0.0,125,1520,2,16.0
2026-09-25T14:02:00Z,gateway-service,28.0,42.0,75.0,0.2,130,1550,3,18.0
2026-09-25T14:03:00Z,gateway-service,35.0,45.0,850.0,12.0,110,900,15,25.0
2026-09-25T14:04:00Z,gateway-service,42.0,48.0,4500.0,38.0,80,400,45,35.0
2026-09-25T14:05:00Z,gateway-service,48.0,52.0,12500.0,78.5,30,80,95,45.0
2026-09-25T14:06:00Z,gateway-service,52.0,55.0,18000.0,92.0,15,10,140,50.0
2026-09-25T14:07:00Z,gateway-service,49.0,53.0,14500.0,84.0,22,35,110,48.0
2026-09-25T14:08:00Z,gateway-service,41.0,49.0,6200.0,45.0,65,280,60,32.0
2026-09-25T14:09:00Z,gateway-service,32.0,44.0,1200.0,15.0,95,750,25,22.0
